Day the World Ended,atomic bomb,1951,https://en.wikipedia.org/wiki/Day_the_World_Ended
The Day The Earth Stood Still,aliens,1957,https://en.wikipedia.org/wiki/The_Day_the_Earth_Stood_Still
When Worlds Collide,aliens,1951,https://en.wikipedia.org/wiki/When_Worlds_Collide_(1951_film)
Robot Monster,monster,1953,https://en.wikipedia.org/wiki/Robot_Monster
The War of the Worlds,aliens,1953,https://en.wikipedia.org/wiki/The_War_of_the_Worlds_(1953_film)
Five,atomic bomb,1955,https://en.wikipedia.org/wiki/Five_(1951_film)
Kiss me Deadly,atomic bomb,1955,https://en.wikipedia.org/wiki/Kiss_me_Deadly
Invasion of the Body Snatchers,aliens,1956,https://en.wikipedia.org/wiki/Invasion_of_the_Body_Snatchers
World Without End,atomic bomb,1956,https://en.wikipedia.org/wiki/World_Without_End_(film)
The Seventh Seal,war,1957,https://en.wikipedia.org/wiki/The_Seventh_Seal
The Lost Missile,atomic bomb,1958,https://en.wikipedia.org/wiki/The_Lost_Missile
On the Beach,atomic bomb,1959,https://en.wikipedia.org/wiki/On_the_Beach_(1959_film)
"The World, the Flesh and the Devil",atomic bomb,1959,"https://en.wikipedia.org/wiki/The_World,_the_Flesh_and_the_Devil_(1959_film)"
Beyond the Time Barrier,time travel,1960,https://en.wikipedia.org/wiki/Beyond_the_Time_Barrier
The Time Machine,time travel,1960,https://en.wikipedia.org/wiki/The_Time_Machine_(1960_film)
The Time Travelers,time travel,1960,https://en.wikipedia.org/wiki/The_Time_Travelers_(1964_film)
Battle of the Worlds,aliens,1961,https://en.wikipedia.org/wiki/Battle_of_the_Worlds
The Day the Earth Caught Fire,climate,1961,https://en.wikipedia.org/wiki/The_Day_the_Earth_Caught_Fire
The Last War,atomic bomb,1961,https://en.wikipedia.org/wiki/The_Last_War_(1961_film)
The Creation of the Humanoids,ai,1962,https://en.wikipedia.org/wiki/The_Creation_of_the_Humanoids
The Day of the Triffids,monster,1962,https://en.wikipedia.org/wiki/The_Day_of_the_Triffids_(film)
La Jet‚e,atomic bomb,1962,https://en.wikipedia.org/wiki/La_Jet%C3%A9e
Panic in Year Zero!,atomic bomb,1962,https://en.wikipedia.org/wiki/Panic_in_Year_Zero!
This Is Not a Test,atomic bomb,1962,https://en.wikipedia.org/wiki/This_Is_Not_a_Test_(1962_film)
Dr. Strangelove or: How I Learned To Stop Worrying and Love the Bomb,atomic bomb,1964,https://en.wikipedia.org/wiki/Dr._Strangelove
Fail-Safe,atomic bomb,1964,https://en.wikipedia.org/wiki/Fail-Safe_(1964_film)
The Last Man on Earth,zombies,1964,https://en.wikipedia.org/wiki/The_Last_Man_on_Earth_(1964_film)
Crack in the World,climate,1965,https://en.wikipedia.org/wiki/Crack_in_the_World
Daleks ? Invasion Earth: 2150 A.D.,time travel,1965,https://en.wikipedia.org/wiki/Daleks_%E2%80%93_Invasion_Earth:_2150_A.D.
The War Game,atomic bomb,1965,https://en.wikipedia.org/wiki/The_War_Game
In the Year 2889,atomic bomb,1967,https://en.wikipedia.org/wiki/In_the_Year_2889_(film)
Night of the Living Dead,zombies,1968,https://en.wikipedia.org/wiki/Night_of_the_Living_Dead
Planet of the Apes,war,1968,https://en.wikipedia.org/wiki/Planet_of_the_Apes_(1968_film)
The Bed-Sitting Room,atomic bomb,1969,https://en.wikipedia.org/wiki/The_Bed-Sitting_Room_(film)
Il seme dell'uomo,disease,1969,https://en.wikipedia.org/wiki/Il_seme_dell%27uomo
Beneath the Planet of the Apes,war,1970,https://en.wikipedia.org/wiki/Beneath_the_Planet_of_the_Apes
Colossus: The Forbin Project,ai,1970,https://en.wikipedia.org/wiki/Colossus:_The_Forbin_Project
Gas-s-s-s,climate,1970,https://en.wikipedia.org/wiki/Gas-s-s-s
No Blade of Grass,disease,1970,https://en.wikipedia.org/wiki/No_Blade_of_Grass_(film)
The Andromeda Strain,aliens,1971,https://en.wikipedia.org/wiki/The_Andromeda_Strain_(film)
Escape from the Planet of the Apes,war,1971,https://en.wikipedia.org/wiki/Escape_from_the_Planet_of_the_Apes
Omega Man,disease,1971,https://en.wikipedia.org/wiki/Omega_Man
Beware! The Blob,monster,1972,https://en.wikipedia.org/wiki/Beware!_The_Blob
Conquest of the Planet of the Apes,war,1972,https://en.wikipedia.org/wiki/Conquest_of_the_Planet_of_the_Apes
A Thief in the Night,rapture,1972,https://en.wikipedia.org/wiki/A_Thief_in_the_Night_(film)
Battle for the Planet of the Apes,war,1973,https://en.wikipedia.org/wiki/Battle_for_the_Planet_of_the_Apes
The Final Programme (The Last Days of Man on Earth),ai,1973,https://en.wikipedia.org/wiki/The_Final_Programme_(film)
Soylent Green,climate changes,1973,https://en.wikipedia.org/wiki/Soylent_Green
Phase IV,monster,1974,https://en.wikipedia.org/wiki/Phase_IV
Where Have All The People Gone?,natural disaster,1974,https://en.wikipedia.org/wiki/Where_Have_All_The_People_Gone%3F
Black Moon,war,1975,https://en.wikipedia.org/wiki/Black_Moon_(1975_film)
The Noah,atomic bomb,1975,https://en.wikipedia.org/wiki/The_Noah
The Ultimate Warrior,disease,1975,https://en.wikipedia.org/wiki/The_Ultimate_Warrior_(1975_film)
"The Late, Great Planet Earth",rapture,1976,"https://en.wikipedia.org/wiki/The_Late,_Great_Planet_Earth"
Damnation Alley,atomic bomb,1977,https://en.wikipedia.org/wiki/Damnation_Alley_(film)
End of the World,aliens,1977,https://en.wikipedia.org/wiki/End_of_the_World_(1977_film)
The Last Wave,natural disaster,1977,https://en.wikipedia.org/wiki/The_Last_Wave
Wizards,atomic bomb,1977,https://en.wikipedia.org/wiki/Wizards_(film)
Dawn of the Dead,zombies,1978,https://en.wikipedia.org/wiki/Dawn_of_the_Dead_(1978_film)
A Distant Thunder,rapture,1978,https://en.wikipedia.org/wiki/A_Distant_Thunder_(1978_film)
Invasion of the Body Snatchers,aliens,1978,https://en.wikipedia.org/wiki/Invasion_of_the_Body_Snatchers_(1978_film)
Quintet,climate,1979,https://en.wikipedia.org/wiki/Quintet_(film)
Apocalypse Now,war,1979,https://en.wikipedia.org/wiki/Apocalypse_Now
Ravagers,atomic bomb,1979,https://en.wikipedia.org/wiki/Ravagers_(1979_film)
